Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\Properties\Settings.Designer.cs,90,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((bool)(this[""OptionUseAllProcessors""]));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\Properties\Settings.Designer.cs,81,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""OptionClearImages""] = value;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\Properties\Settings.Designer.cs,78,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((bool)(this[""OptionClearImages""]));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\Properties\Settings.Designer.cs,69,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""OptionShowMessageBox""] = value;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\Properties\Settings.Designer.cs,66,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((bool)(this[""OptionShowMessageBox""]));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\Properties\Settings.Designer.cs,57,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""OptionAddNumericSuffix""] = value;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\Properties\Settings.Designer.cs,54,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((bool)(this[""OptionAddNumericSuffix""]));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\Properties\Settings.Designer.cs,45,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""SimpleResizeSetting""] = value;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\Properties\Settings.Designer.cs,42,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((int)(this[""SimpleResizeSetting""]));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\Properties\Settings.Designer.cs,33,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""DestinationDirectory""] = value;"
